% comments:
% any line started with '%' - flag can be specified as generic in file_reader_hex
anything less than
% YIADDR SIADDR
C0A8 0164 C0A8 0101
% GIADDR CHADDR(1)
0000 0000 0022 8F02
% CHADDR(2)
41EE 0000 0000 0000
% CHADDR(3) SNAME(64 octets = 8 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% SNAME (last 4 of 64 octets) BNAME (128 octets = 16 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% BNAME (last 4 of 128 octets) MAGIC_COOKIE
0000 0000 6382 5363
% DHCP options:
% DHCP ackn (3) & IP subnet mask (6)
3501 0501 04FF FFFF
% Router IP (6) & IP lease time (6)
0003 04C0 A801 0133
% DHCP server (6)
0400 0000 5036 04C0
% DNS server (10)
A801 0106 0801 0203
0401 0203 05FF 0000 010 0


% to make it late, i.e. after RENEWING:
%@ 3200
% to make it too late, i.e. after REBINDING:
%@ 3500
% DHCP Acknowledge
@ 3400
% UDP header: SRC DST length CRC
0043 0044 011E 0000
% DHCP-header XID
0201 0600 DEAD BEEF
% SECS FLAGS CIADDR
0000 0000 0000 0000
% YIADDR SIADDR
C0A8 0164 C0A8 0301
% GIADDR CHADDR(1)
0000 0000 0022 8F02
% CHADDR(2)
41EE 0000 0000 0000
% CHADDR(3) SNAME(64 octets = 8 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% SNAME (last 4 of 64 octets) BNAME (128 octets = 16 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% BNAME (last 4 of 128 octets) MAGIC_COOKIE
0000 0000 6382 5363
% DHCP options:
% DHCP ackn (3) & IP subnet mask (6)
3501 0501 04FF FFFF
% Router IP (6) & IP lease time (6)
0003 04C0 A801 0133
% DHCP server (6)
0400 0000 5036 04C0
% DNS server (10)
A801 0106 0801 0203
0401 0203 05FF 0000 010 0


% another DHCP offer to test the timeout behaviour in requesting
% DHCP Offer (35*8+6 bytes long = 286 = x11E)
@ 6800
% UDP header: SRC DST length CRC
0043 0044 011E 0000
% DHCP-header XID
0201 0600 DEAD BEF0
% SECS FLAGS CIADDR
0000 0000 0000 0000
% YIADDR SIADDR
C0A8 0164 C0A8 0101
% GIADDR CHADDR(1)
0000 0000 0022 8F02
% CHADDR(2)
41EE 0000 0000 0000
% CHADDR(3) SNAME(64 octets = 8 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% SNAME (last 4 of 64 octets) BNAME (128 octets = 16 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% BNAME (last 4 of 128 octets) MAGIC_COOKIE
0000 0000 6382 5363
% DHCP options:
% DHCP offer (3) & subnet mask (6)
3501 0201 04FF FFFF
% Router IP (6) & IP lease time (6)
0003 04C0 A801 0133
% DHCP server (6)
0400 0151 8036 04C0
% DNS server (10)
A801 0106 0801 0203
0401 0203 05FF BAAD 010 0
